response,freq,HS,activity,logRT,logPrej,pid,trial,patchnum,numwithinpatch,switchornot,cue_transitions,patchnum2,numwithinpatch2
mouse,8.734669,12.743612,0.2110622,1.09894556645823,-3.2292771,0,2,2,1,0,,0,0
rat,8.843021,15.928724,-0.05801153,1.09894556645823,-2.3713615,0,3,2,2,1,1.0,1,0
giraffe,7.0409007,12.040167,1.7233582,1.7919261220073759,-1.1271622,0,4,3,1,0,2.0,2,0
lion,8.663146,14.160519,1.1276553,0.6936470556015963,-3.4210062,0,5,3,2,0,0.0,3,0
zebra,7.33688,13.404592,1.0181093,1.09894556645823,-2.6265798,0,6,3,3,0,0.0,4,0
rhino,7.0549827,14.086273,-0.42002368,1.3865443298750981,-1.7070241,0,7,3,4,0,1.0,5,0
ostrich,7.4367714,14.038284,-1.7866931,1.7919261220073759,-1.2111416,0,8,3,5,0,3.0,5,1
meerkat,5.4104195,13.968748,-0.47309577,1.7919261220073759,-1.6469705,0,9,3,6,0,3.0,5,2
tiger,8.281227,13.783313,0.58249664,1.09894556645823,-1.2313027,0,10,3,7,1,2.0,6,0
bear,9.4697275,15.455345,-0.5030153,0.0009995003330834232,-0.8974022,0,11,4,1,1,1.0,7,0
bat,8.329255,13.633848,-0.6104733,2.3026850879943788,-1.3575382,0,12,5,1,0,2.0,8,0
aardvark,5.9604874,13.347209,-1.4822075,1.7919261220073759,-1.664867,0,13,5,2,0,1.0,9,0
elephant,8.278831,13.430116,0.5827914,1.9460529959950605,-1.2948279,0,14,5,3,1,2.0,10,0
flea,7.587131,11.458504,-1.1687409,1.9460529959950605,-1.258302,0,15,6,1,1,0.0,11,0
ferret,7.2498455,10.347696,-0.36220145,1.9460529959950605,-2.1529934,0,16,7,1,0,0.0,12,0
parrot,7.6612816,11.758602,0.21154499,1.09894556645823,-0.934283,0,17,7,2,1,0.0,13,0
hippopotamus,6.933396,13.123432,1.1898401,1.7919261220073759,-1.703546,0,18,8,1,1,0.0,14,0
alligator,7.4510283,13.049423,1.1975237,1.3865443298750981,-1.0881368,0,19,9,1,0,0.0,15,0
crocodile,7.534795,15.438948,1.2002896,1.6096378924367667,-1.9766661,0,20,9,2,0,1.0,16,0
frog,8.163962,12.634691,0.74017715,1.09894556645823,-1.3596473,0,21,9,3,0,2.0,17,0
whale,8.224764,10.23943,0.87034935,1.3865443298750981,-2.309331,0,22,9,4,0,0.0,18,0
shark,7.8841987,15.465992,0.611025,1.7919261220073759,-2.4872348,0,23,9,5,0,1.0,19,0
clownfish,5.323735,14.037303,-0.01020813,2.3979861777572986,-1.3188217,0,24,9,6,0,2.0,20,0
guppy,6.7135444,13.907315,-1.271575,1.9460529959950605,-1.177927,0,25,9,7,0,1.0,21,0
goldfish,7.2085934,14.975832,-1.2463318,1.09894556645823,-1.5794165,0,26,9,8,0,3.0,21,1
snake,8.501285,11.129561,1.0691586,1.6096378924367667,-1.315264,0,27,9,9,1,2.0,22,0
snail,7.6996565,14.402268,-0.43138158,1.3865443298750981,-2.4620073,0,28,10,1,1,1.0,23,0
deer,8.729307,11.830006,-0.22081327,2.079566533867987,-1.0702826,0,29,11,1,0,2.0,24,0
elk,8.115869,15.504894,-0.5356877,1.3865443298750981,-1.7125838,0,30,11,2,1,1.0,25,0
buffalo,8.841423,12.771476,-1.7932403,1.6096378924367667,-0.9700844,0,31,12,1,0,2.0,26,0
monkey,8.25998,12.393186,1.4139525,1.09894556645823,-0.98282206,0,32,12,2,0,0.0,27,0
hyena,6.8782196,13.501765,-2.0055203,1.9460529959950605,-1.9233682,0,33,12,3,1,1.0,28,0
kangaroo,7.437985,13.734915,1.2155612,2.1973356822749484,-0.628654,0,34,13,1,0,2.0,29,0
snake,8.501285,12.516024,1.0691586,1.09894556645823,-3.619996,1,2,2,1,1,,0,0
shark,7.8841987,12.764757,0.611025,0.6936470556015963,-5.872928,1,3,3,1,1,0.0,1,0
elephant,8.278831,13.47302,0.5827914,1.09894556645823,-3.9116623,1,4,4,1,0,0.0,2,0
gazelle,7.1171856,13.935078,-0.03973782,1.09894556645823,-3.7503586,1,5,4,2,0,0.0,3,0
deer,8.729307,13.64884,-0.22081327,0.6936470556015963,-2.6519687,1,6,4,3,1,0.0,4,0
monkey,8.25998,12.016675,1.4139525,1.7919261220073759,-3.1521037,1,7,5,1,0,0.0,5,0
orangutan,6.276458,14.177447,1.5593612,2.079566533867987,-3.5252774,1,8,5,2,1,0.0,6,0
mouse,8.734669,10.577328,0.2110622,1.3865443298750981,-1.6279716,1,9,6,1,0,0.0,7,0
hamster,7.4689918,14.836759,0.8201952,1.09894556645823,-3.5280094,1,10,6,2,1,0.0,8,0
sheep,9.106964,13.003466,-1.2447839,0.6936470556015963,-2.125476,1,11,7,1,0,0.0,9,0
horse,9.460777,15.120814,-0.51891565,1.09894556645823,-2.5710037,1,12,7,2,1,0.0,10,0
rabbit,8.530918,14.048503,-0.7450187,1.7919261220073759,-2.3972807,1,13,8,1,0,1.0,11,0
squirrel,7.886292,13.886426,0.20738745,2.3026850879943788,-1.8588274,1,14,8,2,0,2.0,12,0
muskrat,7.009971,13.369231,-0.16413426,1.6096378924367667,-1.7448237,1,15,8,3,1,0.0,13,0
loon,7.2497206,13.729445,-1.0819871,0.6936470556015963,-2.095975,1,16,9,1,0,1.0,14,0
eagle,8.609032,13.380373,-1.903922,0.6936470556015963,-2.4212067,1,17,9,2,0,2.0,15,0
hawk,8.229741,15.588108,-1.5486708,0.6936470556015963,-2.1468089,1,18,9,3,0,1.0,16,0
raven,8.028498,15.615752,-1.2783368,0.6936470556015963,-1.8507224,1,19,9,4,0,3.0,16,1
bluebird,6.917741,14.416092,-2.5760632,1.6096378924367667,-1.7924862,1,20,9,5,1,3.0,16,2
raptor,6.776365,14.315435,-2.7818568,1.6096378924367667,-1.8633127,1,21,10,1,1,3.0,16,3
fox,8.901891,11.693276,-1.256597,1.3865443298750981,-1.8362489,1,22,11,1,1,2.0,17,0
cow,8.763902,11.86511,-0.64451075,1.7919261220073759,-2.047215,1,23,12,1,1,0.0,18,0
fisher,8.697324,11.9790325,-1.7570089,2.3979861777572986,-1.5316241,1,24,13,1,1,0.0,19,0
wolverine,7.030102,14.921471,-0.934198,1.09894556645823,-1.9363136,1,25,14,1,0,1.0,20,0
badger,7.696013,15.813591,-3.1732087,1.7919261220073759,-1.7627592,1,26,14,2,1,3.0,20,1
tiger,8.281227,14.430216,0.58249664,1.09894556645823,-1.5737286,1,27,15,1,1,2.0,21,0
bronco,6.6927915,12.819448,-1.8035917,1.6096378924367667,-2.4116287,1,28,16,1,1,1.0,22,0
hare,8.275124,13.7238865,-1.8670738,1.6096378924367667,-1.3953881,1,29,17,1,1,2.0,23,0
turtle,8.067716,12.805708,0.9358722,1.3865443298750981,-1.2572341,1,30,18,1,0,0.0,24,0
crab,8.06861,11.962271,0.1938008,1.7919261220073759,-2.1227043,1,31,18,2,0,0.0,25,0
fish,9.652773,12.342373,0.4094454,1.09894556645823,-2.0124145,1,32,18,3,1,0.0,26,0
blue gill,4.8621206,14.144602,-1.9295422,1.9460529959950605,-2.8893266,1,33,19,1,1,1.0,27,0
