pid,feature,mean_logRT,n,n_squared
51,feature_Is mammal,1.8459304396034808,1,1
71,feature_Is mammal,1.3826221146966546,1,1
198,feature_Is mammal,1.7919677730537673,1,1
199,feature_Is mammal,1.0794029501668643,1,1
285,feature_Is mammal,1.3865443298750981,1,1
286,feature_Is mammal,1.1972145314118339,1,1
287,feature_Is mammal,1.3810135395519325,1,1
288,feature_Is mammal,1.144827704974731,1,1
289,feature_Is mammal,1.0597400777368562,1,1
290,feature_Is mammal,0.9887968999936205,1,1
291,feature_Is mammal,1.2261234073420062,1,1
292,feature_Is mammal,1.51733553508702,1,1
293,feature_Is mammal,0.8962963110299131,1,1
294,feature_Is mammal,1.3736682756479355,1,1
295,feature_Is mammal,0.7949716833157547,1,1
296,feature_Is mammal,1.0400956927383471,1,1
297,feature_Is mammal,0.828788179054639,1,1
298,feature_Is mammal,1.1948442093782832,1,1
379,feature_Is mammal,1.1775440821659842,1,1
380,feature_Is mammal,1.329939084974612,1,1
381,feature_Is mammal,1.2231422038059772,1,1
382,feature_Is mammal,1.0548393942488268,1,1
383,feature_Is mammal,1.282764806312688,1,1
384,feature_Is mammal,0.6936969994025941,1,1
385,feature_Is mammal,1.222162794678318,1,1
386,feature_Is mammal,1.3843328084867064,1,1
387,feature_Is mammal,0.9133361564286211,1,1
388,feature_Is mammal,1.5730472185817523,1,1
389,feature_Is mammal,0.8649726963319972,1,1
390,feature_Is mammal,1.2545357440101437,1,1
391,feature_Is mammal,1.5437048143906913,1,1
392,feature_Is mammal,1.290712777235314,1,1
393,feature_Is mammal,1.1555785717839309,1,1
394,feature_Is mammal,1.9357463279376814,1,1
395,feature_Is mammal,1.0390312273674105,1,1
396,feature_Is mammal,1.1645183378299537,1,1
397,feature_Is mammal,1.2880632652838464,1,1
398,feature_Is mammal,0.7133469198432202,1,1
474,feature_Is mammal,0.34732327796733986,1,1
475,feature_Is mammal,0.1553212095768094,1,1
476,feature_Is mammal,1.09894556645823,1,1
477,feature_Is mammal,1.4676290179903022,1,1
478,feature_Is mammal,1.4717801376964843,1,1
479,feature_Is mammal,1.2382546333033693,1,1
480,feature_Is mammal,0.9175177201859734,1,1
481,feature_Is mammal,1.4330433456837874,1,1
482,feature_Is mammal,1.242744948166664,1,1
483,feature_Is mammal,1.5217132371589865,1,1
484,feature_Is mammal,1.3405806369113233,1,1
485,feature_Is mammal,1.7330554318715425,1,1
486,feature_Is mammal,1.2776234602422827,1,1
487,feature_Is mammal,1.365070356681913,1,1
488,feature_Is mammal,-0.0634410799986264,1,1
489,feature_Is mammal,1.3147071051818988,1,1
490,feature_Is mammal,0.8237613984469991,1,1
491,feature_Is mammal,1.1901460220919133,1,1
492,feature_Is mammal,1.0074172799244923,1,1
