,pid,task,starttime,endtime,original_response_Dutch,original_response,original_response_cleaned,response,invalid,response_len,response_num_words,order,RT
1,2657,1,1612269656493,1612269659361,kat,cat,cat,cat,0.0,3,1,1,2.868
2,2657,1,1612269659361,1612269662587,zeebr,seabr,seabr,zebra,0.0,5,1,2,3.226
3,2657,1,1612269662587,1612269666415,giraffe,giraffe,giraffe,giraffe,0.0,7,1,3,3.828
4,2657,1,1612269666415,1612269671971,zeehond,seal,seal,seal,0.0,4,1,4,5.556
5,2657,1,1612269671971,1612269677895,leeuw,lion,lion,lion,0.0,4,1,5,5.924
6,2657,1,1612269677895,1612269683450,tijger,Tiger,Tiger,tiger,0.0,5,1,6,5.555
7,2657,1,1612269683450,1612269685262,duif,pigeon,pigeon,pigeon,0.0,6,1,7,1.812
8,2657,1,1612269685262,1612269690624,lama,llama,llama,llama,0.0,5,1,8,5.362
9,2657,1,1612269690624,1612269698183,papagaai,parrot,parrot,parrot,0.0,6,1,9,7.559
10,2657,1,1612269698183,1612269701099,puma,puma,puma,puma,0.0,4,1,10,2.916
11,2657,1,1612269701099,1612269706590,aasgier,vulture,vulture,vulture,0.0,7,1,11,5.491
12,2657,1,1612269706590,1612269720013,cavia,guinea pig,guinea pig,guinea pig,0.0,10,2,12,13.423
13,2657,1,1612269720013,1612269723087,konijn,rabbit,rabbit,rabbit,0.0,6,1,13,3.074
14,2657,1,1612269723087,1612269728801,haai,shark,shark,shark,0.0,5,1,14,5.714
15,2657,1,1612269728801,1612269734462,mier,ant,ant,ant,0.0,3,1,15,5.661
16,2657,1,1612269734462,1612269737241,kever,beetle,beetle,beetle,0.0,6,1,16,2.779
17,2657,1,1612269737241,1612269739512,kakkerlak,cockroach,cockroach,cockroach,0.0,9,1,17,2.271
18,2657,1,1612269739512,1612269742760,rat,rat,rat,rat,0.0,3,1,18,3.248
19,2657,1,1612269742760,1612269744087,muis,mouse,mouse,mouse,0.0,5,1,19,1.327
82,2658,1,1612271927633,1612271931230,Luipaard,Leopard,Leopard,leopard,0.0,7,1,1,3.597
83,2658,1,1612271931230,1612271932252,spin,spider,spider,spider,0.0,6,1,2,1.022
84,2658,1,1612271932252,1612271933747,hagedis,lizard,lizard,lizard,0.0,6,1,3,1.495
85,2658,1,1612271933747,1612271939757,hond,dog,dog,dog,0.0,3,1,4,6.01
86,2658,1,1612271939757,1612271940587,paard,horse,horse,horse,0.0,5,1,5,0.83
87,2658,1,1612271940587,1612271941687,ezel,donkey,donkey,donkey,0.0,6,1,6,1.1
88,2658,1,1612271941687,1612271943090,vogel,bird,bird,bird,0.0,4,1,7,1.403
89,2658,1,1612271943090,1612271946321,slak,snail,snail,snail,0.0,5,1,8,3.231
90,2658,1,1612271946321,1612271948828,olifant,elephant,elephant,elephant,0.0,8,1,9,2.507
91,2658,1,1612271948828,1612271950197,tijger,Tiger,Tiger,tiger,0.0,5,1,10,1.369
92,2658,1,1612271950197,1612271952564,stokstaartje,meerkat,meerkat,meerkat,0.0,7,1,11,2.367
93,2658,1,1612271952564,1612271955125,vis,fish,fish,fish,0.0,4,1,12,2.561
