Unnamed: 0,task,model,temp,rep,original_response,pid,original_response_cleaned,response,invalid,jump_GT,response_len,response_num_words,previous_original_response,previous_response,order,category,SS,jump_cat,jump_SS,jump,originality,jump_profile
1,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,giraffe,1,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.850128412246704,1,0,0,,0
2,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,zebra,1,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.819354712963104,1,0,0,,0
3,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,rhinoceros,1,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.827096879482269,0,0,0,,0
4,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,hippopotamus,1,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.844672858715057,0,0,0,,0
5,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,kangaroo,1,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.819636106491089,1,0,0,,0
6,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,tiger,1,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
7,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,lion,1,lion,lion,,,4,1,tiger,tiger,7,1,0.843052387237549,1,0,0,,1
8,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,leopard,1,leopard,leopard,,,7,1,lion,lion,8,1,0.866910636425018,0,0,0,,1
9,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,cheetah,1,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.850775182247162,0,0,0,,1
10,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,panda,1,panda,panda,,,5,1,cheetah,cheetah,10,6,0.796429753303528,1,1,1,,2
11,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,gorilla,1,gorilla,gorilla,,,7,1,panda,panda,11,4,0.829245090484619,1,0,0,,2
12,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,orangutan,1,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.840896308422089,1,0,0,,2
13,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,monkey,1,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.866105794906616,1,0,0,,2
14,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,chimpanzee,1,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.880310952663422,0,0,0,,2
15,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,baboon,1,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.845764219760895,0,0,0,,2
16,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,tarsier,1,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.835408806800842,1,0,0,,2
17,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,sloth,1,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.810124039649963,0,0,0,,2
18,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,koala,1,koala,koala,,,5,1,sloth,sloth,18,5,0.800620079040527,1,0,0,,2
19,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,kangaroo rat,1,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.819009780883789,0,0,0,,2
29,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,giraffe,2,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.850128412246704,1,0,0,,0
30,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,zebra,2,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.819354712963104,1,0,0,,0
31,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,rhinoceros,2,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.827096879482269,0,0,0,,0
32,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,hippopotamus,2,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.844672858715057,0,0,0,,0
33,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,kangaroo,2,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.819636106491089,1,0,0,,0
34,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,tiger,2,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
35,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,lion,2,lion,lion,,,4,1,tiger,tiger,7,1,0.843052387237549,1,0,0,,1
36,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,leopard,2,leopard,leopard,,,7,1,lion,lion,8,1,0.866910636425018,0,0,0,,1
37,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,cheetah,2,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.850775182247162,0,0,0,,1
38,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,panda,2,panda,panda,,,5,1,cheetah,cheetah,10,6,0.796429753303528,1,1,1,,2
39,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,gorilla,2,gorilla,gorilla,,,7,1,panda,panda,11,4,0.829245090484619,1,0,0,,2
40,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,orangutan,2,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.840896308422089,1,0,0,,2
41,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,monkey,2,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.866105794906616,1,0,0,,2
42,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,chimpanzee,2,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.880310952663422,0,0,0,,2
43,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,baboon,2,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.845764219760895,0,0,0,,2
44,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,tarsier,2,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.835408806800842,1,0,0,,2
45,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,sloth,2,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.810124039649963,0,0,0,,2
46,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,koala,2,koala,koala,,,5,1,sloth,sloth,18,5,0.800620079040527,1,0,0,,2
47,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,kangaroo rat,2,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.819009780883789,0,0,0,,2
57,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,giraffe,3,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.850128412246704,1,0,0,,0
58,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,zebra,3,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.819354712963104,1,0,0,,0
59,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,rhinoceros,3,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.827096879482269,0,0,0,,0
60,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,hippopotamus,3,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.844672858715057,0,0,0,,0
61,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,kangaroo,3,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.819636106491089,1,0,0,,0
62,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,tiger,3,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
63,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,lion,3,lion,lion,,,4,1,tiger,tiger,7,1,0.843052387237549,1,0,0,,1
64,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,leopard,3,leopard,leopard,,,7,1,lion,lion,8,1,0.866910636425018,0,0,0,,1
65,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,cheetah,3,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.850775182247162,0,0,0,,1
66,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,panda,3,panda,panda,,,5,1,cheetah,cheetah,10,6,0.796429753303528,1,1,1,,2
67,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,gorilla,3,gorilla,gorilla,,,7,1,panda,panda,11,4,0.829245090484619,1,0,0,,2
68,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,orangutan,3,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.840896308422089,1,0,0,,2
69,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,monkey,3,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.866105794906616,1,0,0,,2
70,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,chimpanzee,3,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.880310952663422,0,0,0,,2
71,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,baboon,3,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.845764219760895,0,0,0,,2
72,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,tarsier,3,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.835408806800842,1,0,0,,2
73,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,sloth,3,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.810124039649963,0,0,0,,2
74,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,koala,3,koala,koala,,,5,1,sloth,sloth,18,5,0.800620079040527,1,0,0,,2
75,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,3,kangaroo rat,3,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.819009780883789,0,0,0,,2
85,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,giraffe,4,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.850128412246704,1,0,0,,0
86,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,zebra,4,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.819354712963104,1,0,0,,0
87,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,rhinoceros,4,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.827096879482269,0,0,0,,0
88,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,hippopotamus,4,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.844672858715057,0,0,0,,0
89,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,kangaroo,4,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.819636106491089,1,0,0,,0
90,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,tiger,4,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
91,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,lion,4,lion,lion,,,4,1,tiger,tiger,7,1,0.843052387237549,1,0,0,,1
