pid,response,RT
1,monkey,2781.0
1,giraffe,570.0
1,dolphin,781.0
1,elephant,335.0
1,leopard,254.0
1,lion,746.0
1,alligator,515.0
1,anteater,293.0
1,bear,1291.0
1,jellyfish,2037.0
1,shark,240.0
1,chimpanzee,2942.0
1,panther,5457.0
1,snake,8857.0
1,liger,6777.0
1,zebra,14517.0
1,whale,1199.0
1,wolf,137.0
1,fox,1048.0
1,hyena,3029.0
1,meerkat,320.0
1,otter,3012.0
1,moose,1304.0
1,hedgehog,3059.0
1,deer,198.0
1,sloth,2324.0
1,owl,2834.0
1,swallow,1548.0
1,bat,1330.0
1,peacock,273.0
1,duck,216.0
1,axolotl,1097.0
1,frog,1262.0
1,piranha,3740.0
1,octopus,4563.0
1,crab,12849.0
1,lizard,20784.0
1,swan,3172.0
1,elk,1824.0
1,gazelle,826.0
1,possum,1182.0
1,rat,1926.0
1,squirrel,780.0
1,bobcat,1552.0
1,mink,3989.0
1,donkey,1455.0
1,dove,2480.0
1,yak,1346.0
1,parrot,222.0
1,chipmunk,2074.0
1,starling,2452.0
1,toad,520.0
1,catfish,2665.0
1,salmon,1184.0
1,slug,2966.0
1,ladybug,1326.0
1,ant,1435.0
1,carp,3582.0
1,sardine,1689.0
1,finch,8980.0
1,bird,8221.0
1,camel,3736.0
1,porcupine,1904.0
1,beaver,2301.0
1,guinea pig,1935.0
2,dog,4626.0
2,zebra,2065.0
2,cat,5403.0
2,fish,2508.0
2,lion,1214.0
2,human,4475.0
2,ant,6978.0
2,elephant,3186.0
2,mouse,3399.0
2,hippopotamus,9217.0
2,butterfly,16416.0
2,walrus,3391.0
2,stick insect,7467.0
2,giraffe,2868.0
2,hamster,586.0
2,beaver,23482.0
2,rabbit,9369.0
2,sheep,1098.0
2,monkey,5979.0
2,cow,658.0
2,crocodile,6918.0
2,pig,9400.0
2,snake,17355.0
2,horse,3198.0
2,guinea pig,3890.0
2,chicken,11772.0
2,ladybird,2885.0
2,eagle,2208.0
2,chimpanzee,4164.0
2,rat,12903.0
2,panda,15954.0
2,fly,8439.0
2,duck,6731.0
3,pig,7975.0
3,bird,2446.0
3,giraffe,5807.0
3,human,4237.0
3,grasshopper,11289.0
3,zebra,4663.0
3,dinosaur,6797.0
3,dodo,6929.0
3,tarantula,8748.0
3,cat,5513.0
3,tadpole,4532.0
3,eagle,7163.0
3,fish,786.0
3,bear,13304.0
3,dolphin,845.0
3,flamingo,11748.0
3,red panda,2015.0000000000000
3,snake,4517.0
3,hare,4065.0000000000000
3,aardvark,15264.0
3,bee,8776.0
3,sloth,7217.0
3,salmon,7237.0
3,wasp,4791.0
3,mammoth,9779.0
3,shark,8847.0
3,kangaroo,3957.0
3,owl,16250.0
3,elk,10101.0
4,squirrel,7091.0
4,tortoise,4068.0000000000000
4,horse,4450.0
4,elephant,4646.0
4,snake,2640.0
4,rabbit,2135.0
4,dog,3360.0
4,hyena,3230.0
4,cat,3921.0
4,hare,8962.0
4,giraffe,6609.0
4,hyena,4953.0
4,gerbil,4910.0
4,bird,8362.0
4,cheetah,5280.0
4,rat,14101.0
4,kangaroo,13328.0
4,zebra,26257.0
4,monkey,9647.0
4,crocodile,17683.0
4,shark,27441.0
5,dog,7004.0
5,giraffe,2383.0
5,ant,1620.0
5,eagle,1711.0
5,hamster,1739.0
5,octopus,2594.0
5,worm,3645.0
5,dinosaur,7725.0
5,horse,3270.0
5,leech,8854.0
5,dragon,10501.0
5,flea,4696.0
5,kitten,9804.0
5,wombat,7848.0
5,polar bear,5310.0
5,whale,4184.0
5,duck,7048.0
5,snake,7755.0
5,stick insect,4214.0
5,anemone,14204.0
5,tiger,4678.0
5,mouse,8834.0
5,giraffe,15634.0
5,moth,9648.0
5,crab,20851.0
5,louse,13636.0
5,llama,7670.0
5,elephant,6640.0
6,dog,5600.0
6,lion,2201.0
6,rabbit,3338.0
6,horse,695.0
6,whale,786.0
6,gorilla,4999.0
6,turtle,1513.0
6,fly,2465.0
6,tiger,5357.0
6,capybara,3953.0
6,snail,1717.0
6,fish,2493.0
6,bear,2170.0
6,parrot,7604.0
6,dinosaur,3291.0
6,panda,9218.0
6,elephant,2962.0
6,red panda,951.0
6,lemur,1329.0
6,slug,2703.0
6,giraffe,6021.0
6,ladybird,2715.0
6,cow,4940.0
6,meerkat,12320.0
6,armadillo,2022.0000000000000
6,snake,5451.0
6,tarantula,2074.0
6,zebra,9839.0
6,frog,3672.0
6,guinea pig,7765.0
6,crocodile,1830.0
6,hippo,5018.0
6,alligator,3990.0
6,stingray,1250.0
6,orca,5095.0
6,cheetah,2429.0
6,scorpion,4748.0
6,shark,1279.0
6,jellyfish,5569.0
6,mouse,8535.0
6,duck,5387.0
6,gecko,6425.0
6,lizard,4289.0
6,hare,4934.0
6,skunk,3084.0
6,butterfly,1938.0
6,sperm whale,9514.0
6,cat,7410.0
7,elephant,6766.0
7,giraffe,2240.0
7,cat,2435.0
7,pigeon,10537.0
7,kangaroo,6488.0
7,peacock,7012.0
7,chameleon,3595.0
7,frog,4943.0
7,salmon,5930.0
7,ant,4295.0
7,dolphin,4047.0000000000000
7,wolf,11749.0
7,eagle,8471.0
7,iguana,5776.0
7,toad,5792.0
7,clownfish,9130.0
7,butterfly,5298.0
7,shrimp,11028.0
7,polar bear,11219.0
7,alpaca,23655.0
7,owl,19879.0
7,crocodile,10621.0
7,turtle,5244.0
