pid,response,RT
51,cat,8
51,dog,3
51,mouse,3
51,rat,3
51,giraffe,6
51,lion,2
51,zebra,3
51,rhino,4
51,ostrich,6
51,meerkat,6
51,tiger,3
51,bear,1
51,bat,10
51,aardvark,6
51,elephant,7
51,flea,7
51,ferret,7
51,parrot,3
51,hippopotamus,6
51,alligator,4
51,crocodile,5
51,frog,3
51,whale,4
51,shark,6
51,clownfish,11
51,guppy,7
51,goldfish,3
51,snake,5
51,snail,4
51,deer,8
51,elk,4
51,buffalo,5
51,monkey,3
51,hyena,7
51,kangaroo,9
71,cheetah,3
71,panther,12
71,snake,3
71,shark,2
71,elephant,3
71,gazelle,3
71,deer,2
71,monkey,6
71,orangutan,8
71,mouse,4
71,hamster,3
71,sheep,2
71,horse,3
71,rabbit,6
71,squirrel,10
71,muskrat,5
71,loon,2
71,eagle,2
71,hawk,2
71,raven,2
71,bluebird,5
71,raptor,5
71,fox,4
71,cow,6
71,fisher,11
71,wolverine,3
71,badger,6
71,tiger,3
71,bronco,5
71,hare,5
71,turtle,4
71,crab,6
71,fish,3
71,bluegill,7
71,mantaray,3
71,caribou,7
71,polarbear,8
198,dog,3
198,cat,2
198,mouse,4
198,tiger,7
198,lion,3
198,bear,1
198,cheetah,6
198,skunk,12
198,raccoon,2
198,hamster,12
198,elephant,3
198,hippopotamus,2
198,alligator,6
198,crocodile,4
198,boaconstrictor,8
198,viper,3
198,rattlesnake,5
198,opossum,21
198,fox,8
198,deer,2
198,bobcat,9
198,bird,12
198,beaver,14
198,groundhog,5
198,hyena,40
199,dog,3
199,cat,2
199,bear,2
199,monkey,1
199,pig,2
199,cow,1
199,horse,2
199,turkey,2
199,giraffe,5
199,elephant,4
199,hippopotamus,2
199,tiger,3
199,lion,1
199,penguin,3
199,mouse,6
199,rat,2
199,hamster,3
199,fish,2
199,chicken,14
199,rabbit,6
199,goose,9
199,turtle,4
199,bird,2
199,frog,1
199,wolf,7
199,raccoon,3
199,possum,2
199,squirrel,10
199,chipmunk,3
199,ferret,22
199,duck,4
199,swan,2
199,shark,4
199,dolphin,3
199,whale,1
199,mountainlion,39
199,gerbil,39
199,gorilla,10
199,chimpanzee,6
199,snake,29
285,deer,4
285,squirrel,5
285,rabbit,2
285,elk,3
285,moose,2
285,muledeer,4
285,whitetaileddeer,9
285,blacktaileddeer,5
285,grizzly,7
285,blackbear,2
285,brownbear,3
285,kodiakbear,5
285,mountaingoat,6
285,goat,3
285,wolf,4
285,fox,3
285,coyote,3
285,dog,3
285,cat,2
285,rat,2
285,mouse,3
285,bird,2
285,cardinal,4
285,bluejay,2
285,robin,3
285,blackbird,2
285,crow,2
285,turkey,4
285,vulture,18
285,eagle,3
285,hawk,3
285,mountainlion,32
285,elephant,3
285,giraffe,9
285,lion,4
285,tiger,2
285,zebra,5
285,antelope,6
286,dog,2
286,cat,1
286,horse,1
286,cow,3
286,pig,1
286,dolphin,6
286,mouse,5
286,gerbil,3
286,chicken,5
286,goose,2
286,potbelliedpig,13
286,hamster,17
286,ferret,14
286,raccoon,7
286,skunk,5
286,squirrel,5
286,polarbear,24
286,grizzly,2
286,penguin,10
286,seal,2
286,monkey,5
286,giraffe,3
286,buffalo,3
286,bison,1
286,lion,7
286,tiger,3
286,cheetah,6
286,gazelle,10
286,antelope,3
286,koala,8
286,sloth,6
287,dog,5
287,cat,2
287,bird,1
287,squirrel,3
287,chipmunk,3
287,elephant,9
287,lion,3
287,tiger,3
287,bear,1
287,mouse,1
287,rat,1
