pid,response,RT,response,invalid
2,sheep,17819.0,sheep,
2,goat,1116.0,goat,
2,deer,58830.0,deer,
2,gazelles,74747.0,gazelle,
3,lion,4626.0,lion,
3,tiger,779.0,tiger,
3,cat,1583.0,cat,
3,mouse,2864.0,mouse,
3,rat,647.0,rat,
3,gerbil,762.0,gerbil,
3,hamster,1765.0,hamster,
3,gunine pig,3209.0,guinea pig,
3,perri dog,7289.0,prairie dog,
3,mole,758.0,mole,
3,badger,1435.0,badger,
3,panda,7215.0,panda,
3,bear,4650.0,bear,
3,donkey,9306.0,donkey,
3,horse,627.0,horse,
3,pig,2634.0,pig,
3,cow,1855.0,cow,
3,llama,26241.0,llama,
3,alpaca,1934.0,alpaca,
3,camel,695.0,camel,
3,snake,36313.0,snake,
3,worm,1510.0,worm,
3,beetle,24156.0,beetle,
3,spider,526.0,spider,
4,bear,17049.0,bear,
4,polar bear,440.0,polar bear,
4,penguin,1963.0,penguin,
4,dolphin,19468.0,dolphin,
4,sea lion,1273.0,sea lion,
4,shark,1274.0,shark,
4,whale,219.0,whale,
4,elephant,2805.0,elephant,
4,rhinoceros,5423.0,rhinoceros,
4,lion,12589.0,lion,
4,tiger,247.0,tiger,
4,panther,1273.0,panther,
4,puma,6160.0,puma,
4,hyena,3223.0,hyena,
4,wolf,2966.0,wolf,
4,coyote,1960.0,coyote,
4,deer,2520.0,deer,
4,moose,13849.0,moose,
4,panda,32606.0,panda,
4,red panda,107.0,red panda,
4,koala,352.0,koala,
4,monkey,3400.0,monkey,
4,chimpanzee,4012.0000000000000,chimpanzee,
4,gorilla,5592.0,gorilla,
4,dog,32827.0,dog,
5,Lion,4359.0,lion,
5,Tiger,887.0,tiger,
5,Cat,1543.0,cat,
5,Kitten,870.0,kitten,
5,Puppy,728.0,puppy,
5,Dog,1638.0,dog,
5,Wolf,695.0,wolf,
5,Fox,2528.0,fox,
5,Skunk,38023.0,skunk,
5,Badger,679.0,badger,
5,Vole,16727.0,vole,
5,Mouse,2281.0,mouse,
5,Rat,760.0,rat,
5,Gerbil,7856.0,gerbil,
5,Hamster,584.0,hamster,
5,Mouse,480.0,mouse,
5,Rat,5111.0,rat,
5,Cat,703.0,cat,
5,Jaguar,7103.0,jaguar,
5,Puma,4799.0,puma,
5,Tiger,5648.0,tiger,
5,Lion,2111.0,lion,
6,Monkey,19422.0,monkey,
6,Ape,559.0,ape,
6,Chimpanzee,599.0,chimpanzee,
6,Orangutan,1652.0,orangutan,
6,Spider monkey,4137.0,spider monkey,
6,Gorilla,628.0,gorilla,
6,Panda,4886.0,panda,
6,Black bear,1775.0,black bear,
6,Brown bear,920.0,brown bear,
6,Polar bear,4986.0,polar bear,
6,Snow leopard,20671.0,snow leopard,
6,Leopard,5307.0,leopard,
6,Jaguar,730.0,jaguar,
6,Tiger,2059.0,tiger,
6,Cheetah,1875.0,cheetah,
6,Lion,618.0,lion,
6,Lynx,755.0,lynx,
6,Domestic cat,8385.0,domestic cat,
6,British shorthair cat,712.0,british shorthair cat,
6,Dog,3881.0,dog,
6,Rabbit,1003.0000000000000,rabbit,
6,Guinea pig,1710.0,guinea pig,
6,Hamster,910.0,hamster,
6,Mouse,486.0,mouse,
6,Chinchilla,4210.0,chinchilla,
6,Ferret,910.0,ferret,
6,Beaver,4093.0,beaver,
6,Badger,546.0,badger,
6,Otter,733.0,otter,
6,Turtle,34870.0,turtle,
7,dog,10330.0,dog,
7,cat,976.0,cat,
7,tiger,4045.0,tiger,
7,lion,1014.0,lion,
7,leopards,24750.0,leopard,
7,jaguars,3524.0,jaguar,
7,snow leopards,1936.0,snow leopard,
7,hippopotomus,26403.0,hippopotomus,
7,whales,17207.0,whale,
7,dolphins,488.0,dolphin,
7,rhinoceros,13131.0,rhinoceros,
7,horses,15038.0,horse,
7,zebras,1105.0,zebra,
7,donkey,1707.0,donkey,
7,mules,13962.0,mule,
7,camels,340.0,camel,
7,alpacas,14743.0,alpaca,
8,bull,33295.0,bull,
8,buffalo,858.0,buffalo,
8,bison,3552.0,bison,
8,hippo,7840.0,hippopotamus,
8,rhino,9018.0,rhinoceros,
8,elephant,23306.0,elephant,
8,bear,4170.0,bear,
8,horse,28594.0,horse,
8,zebra,1530.0,zebra,
8,giraffe,14583.0,giraffe,
8,camel,8179.0,camel,
8,zebra,5769.0,zebra,
9,dog,6050.0,dog,
9,cat,564.0,cat,
9,tiger,7858.0,tiger,
9,cheetah,814.0,cheetah,
9,lion,1078.0,lion,
9,elephant,1751.0,elephant,
9,buffalo,3950.0,buffalo,
9,horse,2861.0,horse,
9,cow,607.0,cow,
9,pig,651.0,pig,
9,sheep,350.0,sheep,
9,lamb,721.0,lamb,
9,pig,4280.0,pig,
9,rabbit,9193.0,rabbit,
9,hare,3227.0,hare,
9,dog,11356.0,dog,
9,cat,705.0,cat,
9,budgie,2753.0,budgerigar,
9,canary,3697.0,canary,
9,parrot,2493.0,parrot,
9,chimpanzee,1403.0,chimpanzee,
9,monkey,567.0,monkey,
9,ape,2020.0,ape,
9,orang utang,1528.0,orangutan,
9,llama,13403.0,llama,
9,horse,974.0,horse,
9,pony,540.0,pony,
9,shetland pony,1464.0,shetland pony,
9,cart horse,1970.0,cart horse,1
9,miniature pony,3087.0,miniature pony,1
9,zebra,7590.0,zebra,
9,lion,10337.0,lion,
9,tiger,1115.0,tiger,
9,buffalo,18157.0,buffalo,
9,cow,977.0,cow,
9,deer,4397.0,deer,
9,stag,333.0,stag,
9,snake,9045.0,snake,
9,ant,1998.0,ant,
9,hedghog,3394.0,hedghog,
9,squirrel,2190.0,squirrel,
9,rat,1131.0,rat,
9,mouse,595.0,mouse,
9,gerbil,3360.0,gerbil,
9,guinea pig,480.0,guinea pig,
10,Lion,4101.0,lion,
10,tiger,942.0,tiger,
10,panther,628.0,panther,
10,puma,786.0,puma,
10,leopar,934.0,leopard,
10,cheetah,787.0,cheetah,
10,cat,2952.0,cat,
10,dog,881.0,dog,
10,wolf,300.0,wolf,
10,fox,211.0,fox,
10,chicken,9259.0,chicken,
10,duck,349.0,duck,
10,goose,246.0,goose,
10,monkey,8472.0,monkey,
10,chimpanzee,318.0,chimpanzee,
10,gorilla,345.0,gorilla,
10,bonobo,1453.0,bonobo,
10,monkey,770.0,monkey,
10,chimpanzee,428.0,chimpanzee,
10,mouse,16296.0,mouse,
10,vole,206.0,vole,
10,shrew,192.0,shrew,
10,rat,209.0,rat,
10,squirrel,472.0,squirrel,
10,vole,1128.0,vole,
10,water rat,31848.0,water rat,
10,otter,559.0,otter,
10,cow,41009.0,cow,
10,bullock,356.0,bullock,
10,ox,2639.0,ox,
10,moose,796.0,moose,
10,deer,1066.0,deer,
11,cat,3523.0,cat,
11,lion,481.0,lion,
11,tiger,432.0,tiger,
11,panther,1760.0,panther,
11,snow leopard,3368.0,snow leopard,
11,cheetah,952.0,cheetah,
11,puma,3416.0,puma,
11,jaguar,760.0,jaguar,
11,giraffe,22167.0,giraffe,
11,rhino,465.0,rhinoceros,
11,elephant,6273.0,elephant,
11,hippopotamus,1336.0,hippopotamus,
11,gazelle,960.0,gazelle,
11,wildebeest,3425.0,wildebeest,
11,gnu,1104.0,gnu,
11,jackyll,2728.0,jackal,
11,dog,5712.0,dog,
11,wolf,632.0,wolf,
11,fox,496.0,fox,
11,dingo,2560.0,dingo,
11,coyote,15368.0,coyote,
11,bird,9432.0,bird,
11,parrot,417.0,parrot,
11,cocatoo,753.0,cockatoo,
11,sparrow,1345.0,sparrow,
11,jay,3193.0,jay,
11,nightengale,3488.0,nightingale,
11,lark,1617.0,lark,
11,swan,992.0,swan,
11,goose,440.0,goose,
11,duck,384.0,duck,
11,hawk,11233.0,hawk,
11,falcon,4560.0,falcon,
11,robin,3008.0,robin,
11,starling,2568.0,starling,
11,chicken,6960.0,chicken,
11,turkey,5920.0,turkey,
11,owl,5257.0,owl,
11,kiwi,4657.0,kiwi,
11,emu,1201.0,emu,
11,ostrich,3112.0,ostrich,
11,gull,6728.0,gull,
12,cat,7334.0,cat,
12,tiger,2135.0,tiger,
12,lion,1612.0,lion,
12,panther,1622.0,panther,
12,puma,1536.0,puma,
12,lynx,1869.0,lynx,
12,dog,8404.0,dog,
12,husky,1088.0,husky,
12,labrador,1151.0,labrador,
12,corgi,3312.0,corgi,
12,alsatian,952.0,alsatian,
12,german shepherd,1107.0,german shepherd,
12,yorkshire terrier,7626.0,yorkshire terrier,
12,greyhound,4155.0,greyhound,
12,whippet,2348.0,whippet,
12,ape,10327.0,ape,
12,chimpanzee,1120.0,chimpanzee,
12,gorilla,2075.0,gorilla,
12,kangeroo,7668.0,kangaroo,
12,wombat,1710.0,wombat,
12,emu,898.0,emu,
12,wallaby,5641.0,wallaby,
13,angelfish,49698.0,angelfish,
13,betta fish,270.0,betta fish,
13,gourami,279.0,gourami,
13,siamese fighting fish,1650.0,siamese fighting fish,
13,rainbow fish,2999.0,rainbow fish,
13,clownfish,300.0,clownfish,
13,tetra fish,7843.0,tetra fish,
13,pleco,9250.0,suckermouth catfish,
13,loach,4490.0,loach,
13,koi,1760.0,koi,
13,goldfish,480.0,goldfish,
13,guppy,17010.0,guppy,
14,ELEPHANT,9020.0,elephant,
14,RHINO,1224.0,rhinoceros,
14,GIRAFFE,2722.0,giraffe,
14,LION,1243.0,lion,
14,TIGER,1273.0,tiger,
14,BUFFOLO,2554.0,buffalo,
14,CROCODILE,2665.0,crocodile,
14,ALIGATOR,734.0,alligator,
14,FISH,8368.0,fish,
14,HERON,2265.0,heron,
14,BLUE TIT,1955.0,blue tit,
14,ROBIN,1055.0,robin,
14,SPARROW,831.0,sparrow,
14,BLACKBIRD,3458.0,blackbird,
14,FLY,3005.0,fly,
14,LADYBIRD,3588.0,ladybird,
14,BUTTERFLY,1327.0,butterfly,
14,MOTH,802.0,moth,
14,BAT,13010.0,bat,
14,RA,3712.0,rat,
14,RAT,1069.0,rat,1
14,MOUSE,1152.0,mouse,
14,BEAVER,5193.0,beaver,
14,MOLE3,8293.0,mole,
