nohup: ignoring input
BEFORE 0
536 ['aardvark', 'african elephant', 'african grey parrot', 'african ringneck', 'african wild dog']
aardvark 0.0
0 true
1 false
2 false
3 false
4 false
african elephant 0.0018656716417910447
0 true
1 false
2 false
3 false
4 false
african grey parrot 0.0037313432835820895
0 false
1 true
2 false
3 false
4 false
african ringneck 0.005597014925373134
0 false
1 true
2 false
3 false
4 false
african wild dog 0.007462686567164179
0 true
1 false
2 false
3 false
4 false
airedale terrier 0.009328358208955223
0 true
1 false
2 false
3 false
4 false
akita 0.011194029850746268
0 true
1 false
2 false
3 false
4 false
albatross 0.013059701492537313
0 false
1 true
2 false
3 false
4 false
alligator 0.014925373134328358
0 false
1 false
2 false
3 true
4 false
alpaca 0.016791044776119403
0 true
1 false
2 false
3 false
4 false
alsatian 0.018656716417910446
0 true
1 false
2 false
3 false
4 false
american pit bull terrier 0.020522388059701493
0 true
1 false
2 false
3 false
4 false
amphibian 0.022388059701492536
0 false
1 false
2 false
3 false
4 true
anaconda 0.024253731343283583
0 false
1 false
2 false
3 true
4 false
angelfish 0.026119402985074626
0 false
1 false
2 false
3 false
4 false
anglerfish 0.027985074626865673
0 false
1 false
2 false
3 false
4 false
ant 0.029850746268656716
0 false
1 false
2 true
3 false
4 false
anteater 0.03171641791044776
0 true
1 false
2 false
3 false
4 false
antelope 0.033582089552238806
0 true
1 false
2 false
3 false
4 false
antlion 0.03544776119402985
0 false
1 false
2 true
3 false
4 false
ape 0.03731343283582089
0 true
1 false
2 false
3 false
4 false
arctic fox 0.03917910447761194
0 true
1 false
2 false
3 false
4 false
arctic hare 0.041044776119402986
0 true
1 false
2 false
3 false
4 false
arctic wolf 0.04291044776119403
0 true
1 false
2 false
3 false
4 false
armadillo 0.04477611940298507
0 true
1 false
2 false
3 false
4 false
asp 0.04664179104477612
0 false
1 false
2 false
3 false
4 false
ass 0.048507462686567165
0 true
1 false
2 false
3 false
4 false
axolotl 0.05037313432835821
0 false
1 false
2 false
3 false
4 true
baboon 0.05223880597014925
0 true
1 false
2 false
3 false
4 false
bacterium 0.054104477611940295
0 false
1 false
2 false
3 false
4 false
badger 0.055970149253731345
0 true
1 false
2 false
3 false
4 false
barracuda 0.05783582089552239
0 false
1 false
2 false
3 false
4 false
basking shark 0.05970149253731343
0 false
1 false
2 false
3 false
4 false
bass 0.061567164179104475
0 false
1 false
2 false
3 false
4 false
bat 0.06343283582089553
0 true
1 false
2 false
3 false
4 false
bear 0.06529850746268656
0 true
1 false
2 false
3 false
4 false
beaver 0.06716417910447761
0 true
1 false
2 false
3 false
4 false
bee 0.06902985074626866
0 false
1 false
2 true
3 false
4 false
beetle 0.0708955223880597
0 false
1 false
2 true
3 false
4 false
beluga 0.07276119402985075
0 true
1 false
2 false
3 false
4 false
bengaltiger 0.07462686567164178
0 true
1 false
2 false
3 false
4 false
betta 0.07649253731343283
0 false
1 false
2 false
3 false
4 false
betta fish 0.07835820895522388
0 false
1 false
2 false
3 false
4 false
bird 0.08022388059701492
0 false
1 true
2 false
3 false
4 false
bison 0.08208955223880597
0 true
1 false
2 false
3 false
4 false
black bear 0.08395522388059702
0 true
1 false
2 false
3 false
4 false
black widow 0.08582089552238806
0 false
1 false
2 false
3 false
4 false
blackbear 0.08768656716417911
0 true
1 false
2 false
3 false
4 false
blackbird 0.08955223880597014
0 false
1 true
2 false
3 false
4 false
blackmamba 0.0914179104477612
0 false
1 false
2 false
3 true
4 false
blacktaileddeer 0.09328358208955224
0 true
1 false
2 false
3 false
4 false
blackwidow 0.09514925373134328
0 false
1 false
2 false
3 false
4 false
bloodhound 0.09701492537313433
0 true
1 false
2 false
3 false
4 false
blowfish 0.09888059701492537
0 false
1 false
2 false
3 false
4 false
blue jay 0.10074626865671642
0 false
1 true
2 false
3 false
4 false
blue tit 0.10261194029850747
0 false
1 true
2 false
3 false
4 false
blue whale 0.1044776119402985
0 true
1 false
2 false
3 false
4 false
bluebird 0.10634328358208955
0 false
1 true
2 false
3 false
4 false
bluefootedbooby 0.10820895522388059
0 false
1 true
2 false
3 false
4 false
bluegill 0.11007462686567164
0 false
1 false
2 false
3 false
4 false
bluejay 0.11194029850746269
0 false
1 true
2 false
3 false
4 false
bluewhale 0.11380597014925373
0 true
1 false
2 false
3 false
4 false
boa constrictor 0.11567164179104478
0 false
1 false
2 false
3 true
4 false
boaconstrictor 0.11753731343283583
0 false
1 false
2 false
3 true
4 false
boar 0.11940298507462686
0 true
1 false
2 false
3 false
4 false
bobcat 0.12126865671641791
0 true
1 false
2 false
3 false
4 false
bonobo 0.12313432835820895
0 true
1 false
2 false
3 false
4 false
borneo elephant 0.125
0 true
1 false
2 false
3 false
4 false
boxer dog 0.12686567164179105
0 true
1 false
2 false
3 false
4 false
brineshrimp 0.1287313432835821
0 false
1 false
2 false
3 false
4 false
british shorthair cat 0.13059701492537312
0 true
1 false
2 false
3 false
4 false
bronco 0.13246268656716417
0 true
1 false
2 false
3 false
4 false
brown bear 0.13432835820895522
0 true
1 false
2 false
3 false
4 false
brownbear 0.13619402985074627
0 true
1 false
2 false
3 false
4 false
buck 0.13805970149253732
0 true
1 false
2 false
3 false
4 false
budgerigar 0.13992537313432835
0 false
1 true
2 false
3 false
4 false
buffalo 0.1417910447761194
0 true
1 false
2 false
3 false
4 false
bug 0.14365671641791045
0 false
1 false
2 true
3 false
4 false
bull 0.1455223880597015
0 true
1 false
2 false
3 false
4 false
bulldog 0.14738805970149255
0 true
1 false
2 false
3 false
4 false
bullfrog 0.14925373134328357
0 false
1 false
2 false
3 false
4 true
bullock 0.15111940298507462
0 true
1 false
2 false
3 false
4 false
bumblebee 0.15298507462686567
0 false
1 false
2 true
3 false
4 false
bunny 0.15485074626865672
0 true
1 false
2 false
3 false
4 false
burmese cat 0.15671641791044777
0 true
1 false
2 false
3 false
4 false
butterfly 0.15858208955223882
0 false
1 false
2 true
3 false
4 false
caiman 0.16044776119402984
0 false
1 false
2 false
3 true
4 false
calf 0.1623134328358209
0 true
1 false
2 false
3 false
4 false
camel 0.16417910447761194
0 true
1 false
2 false
3 false
4 false
canary 0.166044776119403
0 false
1 true
2 false
3 false
4 false
capybara 0.16791044776119404
0 true
1 false
2 false
3 false
4 false
cardinal 0.16977611940298507
0 false
1 true
2 false
3 false
4 false
caribou 0.17164179104477612
0 true
1 false
2 false
3 false
4 false
carp 0.17350746268656717
0 false
1 false
2 false
3 false
4 false
cat 0.17537313432835822
0 true
1 false
2 false
3 false
4 false
caterpillar 0.17723880597014927
0 false
1 false
2 true
3 false
4 false
catfish 0.1791044776119403
0 false
1 false
2 false
3 false
4 false
cattle 0.18097014925373134
0 true
1 false
2 false
3 false
4 false
cavy 0.1828358208955224
0 true
1 false
2 false
3 false
4 false
centipede 0.18470149253731344
0 false
1 false
2 false
3 false
4 false
chameleon 0.1865671641791045
0 false
1 false
2 false
3 true
4 false
cheetah 0.1884328358208955
0 true
1 false
2 false
3 false
4 false
chick 0.19029850746268656
0 false
1 true
2 false
3 false
4 false
chickadee 0.1921641791044776
0 false
1 true
2 false
3 false
4 false
chicken 0.19402985074626866
0 false
1 true
2 false
3 false
4 false
chihuahua 0.1958955223880597
0 true
1 false
2 false
3 false
4 false
chimpanzee 0.19776119402985073
0 true
1 false
2 false
3 false
4 false
chinchilla 0.19962686567164178
0 true
1 false
2 false
3 false
4 false
chipmunk 0.20149253731343283
0 true
1 false
2 false
3 false
4 false
civet 0.20335820895522388
0 true
1 false
2 false
3 false
4 false
clam 0.20522388059701493
0 false
1 false
2 false
3 false
4 false
clownfish 0.20708955223880596
0 false
1 false
2 false
3 false
4 false
coal tit 0.208955223880597
0 false
1 true
2 false
3 false
4 false
cobra 0.21082089552238806
0 false
1 false
2 false
3 true
4 false
cock 0.2126865671641791
0 false
1 true
2 false
3 false
4 false
cockatiel 0.21455223880597016
0 false
1 true
2 false
3 false
4 false
cockatoo 0.21641791044776118
0 false
1 true
2 false
3 false
4 false
cockerel 0.21828358208955223
0 false
1 true
2 false
3 false
4 false
cockroach 0.22014925373134328
0 false
1 false
2 true
3 false
4 false
cod 0.22201492537313433
0 false
1 false
2 false
3 false
4 false
collie dog 0.22388059701492538
0 true
1 false
2 false
3 false
4 false
colt 0.22574626865671643
0 true
1 false
2 false
3 false
4 false
coot 0.22761194029850745
0 false
1 true
2 false
3 false
4 false
coral 0.2294776119402985
0 false
1 false
2 false
3 false
4 false
corgi 0.23134328358208955
0 true
1 false
2 false
3 false
4 false
cougar 0.2332089552238806
0 true
1 false
2 false
3 false
4 false
cow 0.23507462686567165
0 true
1 false
2 false
3 false
4 false
coyote 0.23694029850746268
0 true
1 false
2 false
3 false
4 false
crab 0.23880597014925373
0 false
1 false
2 false
3 false
4 false
crane 0.24067164179104478
0 false
1 true
2 false
3 false
4 false
crane fly 0.24253731343283583
0 false
1 false
2 true
3 false
4 false
crawfish 0.24440298507462688
0 false
1 false
2 false
3 false
4 false
cricket 0.2462686567164179
0 false
1 false
2 true
3 false
4 false
crocodile 0.24813432835820895
0 false
1 false
2 false
3 true
4 false
crow 0.25
0 false
1 true
2 false
3 false
4 false
cub 0.251865671641791
0 true
1 false
2 false
3 false
4 false
cuckoo 0.2537313432835821
0 false
1 true
2 false
3 false
4 false
cuttlefish 0.2555970149253731
0 false
1 false
2 false
3 false
4 false
dachshund 0.2574626865671642
0 true
1 false
2 false
3 false
4 false
dalmation 0.2593283582089552
0 true
1 false
2 false
3 false
4 false
deer 0.26119402985074625
0 true
1 false
2 false
3 false
4 false
degu 0.2630597014925373
0 true
1 false
2 false
3 false
4 false
devil 0.26492537313432835
0 false
1 false
2 false
3 false
4 false
dingo 0.2667910447761194
0 true
1 false
2 false
3 false
4 false
dinosaur 0.26865671641791045
0 false
1 true
2 false
3 true
4 false
dodo 0.27052238805970147
0 false
1 true
2 false
3 false
4 false
doe 0.27238805970149255
0 true
1 false
2 false
3 false
4 false
dog 0.27425373134328357
0 true
1 false
2 false
3 false
4 false
dolphin 0.27611940298507465
0 true
1 false
2 false
3 false
4 false
domestic cat 0.27798507462686567
0 true
1 false
2 false
3 false
4 false
donkey 0.2798507462686567
0 true
1 false
2 false
3 false
4 false
dormouse 0.28171641791044777
0 true
1 false
2 false
3 false
4 false
dove 0.2835820895522388
0 false
1 true
2 false
3 false
4 false
dragon 0.28544776119402987
0 false
1 false
2 false
3 false
4 false
dragon fly 0.2873134328358209
0 false
1 false
2 true
3 false
4 false
