nohup: ignoring input
BEFORE 3
535 ['aardvark', 'african elephant', 'african grey parrot', 'african ringneck', 'african wild dog']
urchin 0.0
1 false
2 false
3 false
viper 0.001869158878504673
0 false
2 false
3 true
vole 0.003738317757009346
0 true
1 false
4 false
vulture 0.005607476635514018
0 false
1 true
2 false
3 false
4 false
wallaby 0.007476635514018692
0 true
1 false
2 false
3 false
4 false
walrus 0.009345794392523364
0 true
1 false
2 false
3 false
4 false
warthog 0.011214953271028037
0 true
1 false
2 false
3 false
4 false
wasp 0.013084112149532711
0 false
1 false
2 true
3 false
4 false
water rat 0.014953271028037384
0 true
1 false
2 false
3 false
4 false
watersnake 0.016822429906542057
0 false
1 false
2 false
3 true
4 false
weasel 0.018691588785046728
0 true
1 false
2 false
3 false
4 false
western capercaillie 0.020560747663551402
0 false
1 true
2 false.
3 false.
4 false
whale 0.022429906542056073
0 true
1 false
2 false
3 false
4 false
whaleshark 0.024299065420560748
0 false
1 false
2 false
3 false
4 false
whippet 0.026168224299065422
0 true
1 false
2 false
3 false
4 false
white tiger 0.028037383177570093
0 true
1 false
2 false
3 false
4 false
whitetaileddeer 0.029906542056074768
0 true
1 false
2 false
3 false
4 false
wild boar 0.03177570093457944
0 true
1 false
2 false
3 false
4 false
wild cat 0.03364485981308411
0 true
1 false
2 false
3 false
4 false
wild dog 0.03551401869158879
0 true
1 false
2 false
3 false
4 false
wildcat 0.037383177570093455
0 true
1 false
2 false
3 false
4 false
wildebeest 0.03925233644859813
0 true
1 false
2 false
3 false
4 false
wolf 0.041121495327102804
0 true
1 false
2 false
3 false
4 false
wolfdog 0.04299065420560748
0 true
1 false
2 false
3 false
4 false
wolverine 0.044859813084112146
0 true
1 false.
2 false
3 false.
4 false.
wombat 0.04672897196261682
0 true
1 false
2 false
3 false
4 false
woodchuck 0.048598130841121495
0 true
1 false
2 false
3 false
4 false
woodlice 0.05046728971962617
0 false
1 false.
2 false.
3 false.
4 false
woodlouse 0.052336448598130844
0 false
1 false
2 false.
3 false
4 false
woodpecker 0.05420560747663551
0 false
1 true
2 false
3 false
4 false
woollymammoth 0.056074766355140186
0 true
1 false
2 false
3 false
4 false
worm 0.05794392523364486
0 false
1 false
2 false
3 false
4 false
yak 0.059813084112149535
0 true
1 false
2 false
3 false
4 false
yorkshire terrier 0.0616822429906542
0 true
1 false
2 false
3 false
4 false
zebra 0.06355140186915888
0 true
1 false
2 false
3 false
4 false
AFTER 35
